ward,street_number,street_name,street_type,quadrant,square_suffix_lot,full_address
4,406,KENNEDY,ST,NW,3259 0040,"406 KENNEDY ST NW Washington, DC"
4,6019,4TH,ST,NW,3289 0072,"6019 4TH ST NW Washington, DC"
4,5311,4TH,ST,NW,3297 0021,"5311 4TH ST NW Washington, DC"
4,312,GALLATIN,ST,NW,3302 0061,"312 GALLATIN ST NW Washington, DC"
4,4109,3RD,ST,NW,3316 0068,"4109 3RD ST NW Washington, DC"
4,200,HAMILTON,ST,NW,3326 0088,"200 HAMILTON ST NW Washington, DC"
4,245,INGRAHAM,ST,NW,3328 0018,"245 INGRAHAM ST NW Washington, DC"
4,5406,KANSAS,AVE,NW,3330 0008,"5406 KANSAS AVE NW Washington, DC"
4,221,MISSOURI,AVE,NW,3331 0042,"221 MISSOURI AVE NW Washington, DC"
4,205,OGLETHORPE,ST,NW,3337 0102,"205 OGLETHORPE ST NW Washington, DC"
4,200,TUCKERMAN,ST,NW,3343 0813,"200 TUCKERMAN ST NW Washington, DC"
4,207,UNDERWOOD,ST,NW,3345 0830,"207 UNDERWOOD ST NW Washington, DC"
4,18,VAN BUREN,ST,NW,3367 0077,"18 VAN BUREN ST NW Washington, DC"
4,133,LONGFELLOW,ST,NW,3387 0089,"133 LONGFELLOW ST NW Washington, DC"
4,22,MADISON,ST,NW,3388 0103,"22 MADISON ST NW Washington, DC"
4,5408,1ST,ST,NW,3391 0031,"5408 1ST ST NW Washington, DC"
4,14-20,KENNEDY,ST,NW,3393 0060,"14-20 KENNEDY ST NW Washington, DC"
4,54,RIGGS,RD,NE,3704 0813,"54 RIGGS RD NE Washington, DC"
4,1,MCDONALD,PL,NE,3709 0832,"1 MCDONALD PL NE Washington, DC"
4,6121,3RD,ST,NE,3731 0068,"6121 3RD ST NE Washington, DC"
4,637,OGLETHORPE,ST,NE,3736 0093,"637 OGLETHORPE ST NE Washington, DC"
4,618,KENSINGTON,PL,NE,3740 0030,"618 KENSINGTON PL NE Washington, DC"
4,746,KENNEDY,ST,NE,3742 0015,"746 KENNEDY ST NE Washington, DC"
4,700,KENNEDY,ST,NE,3742 0031,"700 KENNEDY ST NE Washington, DC"
4,1910,SUDBURY,RD,NW,PAR 00770190,"1910 SUDBURY RD NW Washington, DC"
4,3700,14TH,ST,NW,2692 0043,"3700 14TH ST NW Washington, DC"
4,1300,JEFFERSON,ST,NW,2803 0097,"1300 JEFFERSON ST NW Washington, DC"
4,802,FARRAGUT,ST,NW,3009 0082,"802 FARRAGUT ST NW Washington, DC"
4,315,UPSHUR,ST,NW,3311 0085,"315 UPSHUR ST NW Washington, DC"
5,716,JACKSON,ST,NE,0167 0819,"716 JACKSON ST NE Washington, DC"
5,225,R,ST,NW,0550 0032,"225 R ST NW Washington, DC"
5,228,Q,ST,NW,0552 0062,"228 Q ST NW Washington, DC"
5,108,Q,ST,NW,0552 0097,"108 Q ST NW Washington, DC"
5,1522,1ST,ST,NW,0552 0164,"1522 1ST ST NW Washington, DC"
5,117,NEW YORK,AVE,NW,0555 0147,"117 NEW YORK AVE NW Washington, DC"
5,24,Q,ST,NW,0615 0065,"24 Q ST NW Washington, DC"
5,1310,NORTH CAPITOL,ST,NW,0617 0216,"1310 NORTH CAPITOL ST NW Washington, DC"
5,32,O,ST,NW,0617 0229,"32 O ST NW Washington, DC"
5,45,NEW YORK,AVE,NW,0618 0036,"45 NEW YORK AVE NW Washington, DC"
5,69,NEW YORK,AVE,NW,0618 0048,"69 NEW YORK AVE NW Washington, DC"
5,61,QUINCY,PL,NW,3101 0053,"61 QUINCY PL NW Washington, DC"
5,1720,1ST,ST,NW,3104 0814,"1720 1ST ST NW Washington, DC"
5,118,THOMAS,ST,NW,3113 0098,"118 THOMAS ST NW Washington, DC"
5,29,U,ST,NW,3117 0009,"29 U ST NW Washington, DC"
5,71,U,ST,NW,3117 0030,"71 U ST NW Washington, DC"
5,87,V,ST,NW,3118 0023,"87 V ST NW Washington, DC"
5,42,BRYANT,ST,NW,3124 0100,"42 BRYANT ST NW Washington, DC"
5,2330,1ST,ST,NW,3125 0062,"2330 1ST ST NW Washington, DC"
5,128,BRYANT,ST,NW,3125 0108,"128 BRYANT ST NW Washington, DC"
5,53,BRYANT,ST,NW,3127 0105,"53 BRYANT ST NW Washington, DC"
5,14,CHANNING,ST,NW,3127 0152,"14 CHANNING ST NW Washington, DC"
5,87,HAWTHORNE,CT,NE,3499 2396,"87 HAWTHORNE CT NE Washington, DC"
5,31,MICHIGAN,AVE,NE,3500 0051,"31 MICHIGAN AVE NE Washington, DC"
5,2607,NORTH CAPITOL,ST,NE,3502 0041,"2607 NORTH CAPITOL ST NE Washington, DC"
5,1712,LINCOLN,RD,NE,3513 0800,"1712 LINCOLN RD NE Washington, DC"
5,26,FLORIDA,AVE,NE,3516 0071,"26 FLORIDA AVE NE Washington, DC"
5,20,FLORIDA,AVE,NE,3516 0074,"20 FLORIDA AVE NE Washington, DC"
5,13,Q,ST,NE,3516 0120,"13 Q ST NE Washington, DC"
5,23,Q,ST,NE,3516 0125,"23 Q ST NE Washington, DC"
5,158,TODD,PL,NE,3533 0093,"158 TODD PL NE Washington, DC"
5,1941,SUMMIT,PL,NE,3533 0108,"1941 SUMMIT PL NE Washington, DC"
5,113,U,ST,NE,3533 0176,"113 U ST NE Washington, DC"
5,158,U,ST,NE,3535E 0067,"158 U ST NE Washington, DC"
5,140,UHLAND,TER,NE,3535E 0118,"140 UHLAND TER NE Washington, DC"
5,201,DOUGLAS,ST,NE,3553 0084,"201 DOUGLAS ST NE Washington, DC"
5,227,DOUGLAS,ST,NE,3553 0097,"227 DOUGLAS ST NE Washington, DC"
5,222,SEATON,PL,NE,3568 0032,"222 SEATON PL NE Washington, DC"
5,2620,6TH,ST,NE,3634 0041,"2620 6TH ST NE Washington, DC"
5,2808,5TH,ST,NE,3639 0013,"2808 5TH ST NE Washington, DC"
5,2805,4TH,ST,NE,3639 0827,"2805 4TH ST NE Washington, DC"
5,632,FRANKLIN,ST,NE,3641 0079,"632 FRANKLIN ST NE Washington, DC"
5,709,JACKSON,ST,NE,3649 0810,"709 JACKSON ST NE Washington, DC"
5,719,KEARNY,ST,NE,3650 0024,"719 KEARNY ST NE Washington, DC"
5,121,VICTOR,ST,NE,3668 0073,"121 VICTOR ST NE Washington, DC"
5,5383,CHILLUM,PL,NE,3749 0060,"5383 CHILLUM PL NE Washington, DC"
5,675,JEFFERSON,ST,NE,3749 0094,"675 JEFFERSON ST NE Washington, DC"
5,933,JEFFERSON,ST,NE,3749 0130,"933 JEFFERSON ST NE Washington, DC"
5,5161,7TH,ST,NE,3755 0017,"5161 7TH ST NE Washington, DC"
5,643,GALLATIN,ST,NE,3777 0035,"643 GALLATIN ST NE Washington, DC"
5,732,EMERSON,ST,NE,3782 0046,"732 EMERSON ST NE Washington, DC"
5,4973,8TH,ST,NE,3785 0021,"4973 8TH ST NE Washington, DC"
5,608,AVA,CIR,NE,3788 0861,"608 AVA CIR NE Washington, DC"
5,901,VARNUM,ST,NE,3810 0062,"901 VARNUM ST NE Washington, DC"
5,4332,VARNUM,PL,NE,3810 0089,"4332 VARNUM PL NE Washington, DC"
5,4041,7TH,ST,NE,3817 0021,"4041 7TH ST NE Washington, DC"
5,914,EVARTS,ST,NE,3841 0068,"914 EVARTS ST NE Washington, DC"
5,2626,10TH,ST,NE,3843 0028,"2626 10TH ST NE Washington, DC"
5,1014,RHODE ISLAND,AVE,NE,3871 0056,"1014 RHODE ISLAND AVE NE Washington, DC"
5,1023,VARNUM,ST,NE,3891 0101,"1023 VARNUM ST NE Washington, DC"
5,1225,FARADAY,PL,NE,3909 0063,"1225 FARADAY PL NE Washington, DC"
5,4216,12TH,PL,NE,3920 0091,"4216 12TH PL NE Washington, DC"
5,4212,12TH,PL,NE,3920 0093,"4212 12TH PL NE Washington, DC"
5,1241,PERRY,ST,NE,3926 0050,"1241 PERRY ST NE Washington, DC"
5,1248,HAMLIN,ST,NE,3933 0039,"1248 HAMLIN ST NE Washington, DC"
5,1352,BRYANT,ST,NE,3953 0010,"1352 BRYANT ST NE Washington, DC"
5,1322,HAMLIN,ST,NE,3959 0019,"1322 HAMLIN ST NE Washington, DC"
5,1339,KEARNY,ST,NE,3961 0020,"1339 KEARNY ST NE Washington, DC"
5,1338,TAYLOR,ST,NE,3971 0002,"1338 TAYLOR ST NE Washington, DC"
5,4414,13TH,PL,NE,3975 0057,"4414 13TH PL NE Washington, DC"
5,1347,WEBSTER,ST,NE,3975 0821,"1347 WEBSTER ST NE Washington, DC"
5,5015,14TH,ST,NE,3977 0093,"5015 14TH ST NE Washington, DC"
5,1433,IRVING,ST,NE,4016 0017,"1433 IRVING ST NE Washington, DC"
5,2342,14TH,ST,NE,4027 0030,"2342 14TH ST NE Washington, DC"
5,966,MOUNT OLIVET,RD,NE,4039 0808,"966 MOUNT OLIVET RD NE Washington, DC"
