project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
MSARP,,,1500.0,0.0,0,1500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1005&z=bijz,2018,78,BRMS
Volunteer Recruitment,,,1930.0,0.0,0,1930.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1004&z=bijz,2018,78,BRMS
Light Pole Banners,,,4000.0,4000.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1003&z=bijz,2018,78,BRMS
Culinary Crawl,,,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1002&z=bijz,2018,78,BRMS
Training - Registration,,,1000.0,1000.0,0,1000.0,405.0,0.0,405.0,595.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=989&z=bijz,2018,78,BRMS
Training - Travel,,,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=990&z=bijz,2018,78,BRMS
Grants to Business Owners ,,,25470.0,25470.0,0,25470.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=991&z=bijz,2018,78,BRMS
Executive Director's Salary,,,51100.0,51100.0,0,51100.0,41250.0,0.0,41250.0,9850.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=992&z=bijz,2018,78,BRMS
Outreach to Businesses ,,,4000.0,0.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1000&z=bijz,2018,78,BRMS
Garden Party,,,4000.0,0.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=1001&z=bijz,2018,78,BRMS
BRMS Business Map Project,,,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=997&z=bijz,2018,78,BRMS
Santa Arrives on 8th Street,,,1500.0,1500.0,0,1500.0,850.0,0.0,850.0,650.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=994&z=bijz,2018,78,BRMS
Easter Egg Hunt,,,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=995&z=bijz,2018,78,BRMS
Taste of 8th ,,,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=996&z=bijz,2018,78,BRMS
Business Retention - SBTA,,,4000.0,0.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=998&z=bijz,2018,78,BRMS
Annual Meeting,,,3000.0,0.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=999&z=bijz,2018,78,BRMS
Fall Festival,,,22000.0,22000.0,0,22000.0,2674.85,0.0,0.0,22000.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=993&z=bijz,2018,78,BRMS
BRMS Business Map Project,2013-10-01 00:00:00,2014-09-30 00:00:00,4500.0,0.0,0,4500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=203&z=bias,2014,10,BRMS
Outreach to business,2013-01-01 00:00:00,2013-03-31 00:00:00,2500.0,0.0,0,2500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=215&z=bias,2014,10,BRMS
2014 Small Business Saturdays,2013-10-01 00:00:00,2014-09-30 00:00:00,0.0,0.0,0,0.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=205&z=bias,2014,10,BRMS
Light pole banners,2013-10-01 00:00:00,2014-09-30 00:00:00,6000.0,6000.0,0,6000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=199&z=bias,2014,10,BRMS
ED Salary,2013-10-01 00:00:00,2014-09-30 00:00:00,37500.0,37500.0,0,37500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=198&z=bias,2014,10,BRMS
Santa Arrives on Barracks Row,2014-11-01 00:00:00,2014-12-31 00:00:00,1000.0,1000.0,1000,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=209&z=bias,2014,10,BRMS
Easter Egg Hunt,2014-03-30 00:00:00,2014-04-30 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=206&z=bias,2014,10,BRMS
Taste of 8th Street,2014-01-01 00:00:00,2014-05-31 00:00:00,5000.0,5000.0,3000,8000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=210&z=bias,2014,10,BRMS
Volunteer Recruitment,2013-07-12 00:00:00,2014-09-12 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=208&z=bias,2014,10,BRMS
Share Ad Campaign,2013-10-01 00:00:00,2014-09-30 00:00:00,3000.0,3000.0,2000,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=207&z=bias,2014,10,BRMS
Signage Grant,2014-01-01 00:00:00,2014-09-30 00:00:00,20000.0,20000.0,0,20000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=211&z=bias,2014,10,BRMS
Business Retention,2013-10-01 00:00:00,2014-09-30 00:00:00,20000.0,20000.0,0,20000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=213&z=bias,2014,10,BRMS
2014-Business Retention - SBTA,2013-10-01 00:00:00,2014-09-30 00:00:00,17500.0,17500.0,0,17500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=201&z=bias,2014,10,BRMS
2014 Annual Meeting,2014-01-01 00:00:00,2014-03-14 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=202&z=bias,2014,10,BRMS
Business Inventory and Tracking,2013-10-01 00:00:00,2014-09-30 00:00:00,5000.0,5000.0,3500,8500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=214&z=bias,2014,10,BRMS
Needs Assessments,2013-10-01 00:00:00,2014-09-30 00:00:00,3000.0,0.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=212&z=bias,2014,10,BRMS
Barracks Row Culinary Education Crawl,2013-10-01 00:00:00,2014-09-30 00:00:00,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=204&z=bias,2014,10,BRMS
2014 Barracks Row Fall Festival,2014-05-01 00:00:00,2014-10-31 00:00:00,20000.0,20000.0,20000,40000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=200&z=bias,2014,10,BRMS
Annual Report,2014-12-01 00:00:00,2014-12-31 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=185&z=bh7m,2014,16,CHMS
Main Street Website,2013-10-01 00:00:00,2014-09-30 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=181&z=bh7m,2014,16,CHMS
Back to School Event,2014-08-01 00:00:00,2014-09-30 00:00:00,6000.0,6000.0,0,6000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=179&z=bh7m,2014,16,CHMS
MS Conference/Audit/Accounting,2013-10-01 00:00:00,2014-09-30 00:00:00,7850.0,7850.0,0,7850.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=184&z=bh7m,2014,16,CHMS
Business Promotional Street Fair,2014-01-01 00:00:00,2014-09-30 00:00:00,8000.0,8000.0,0,8000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=178&z=bh7m,2014,16,CHMS
Storefront Improvement,2013-10-01 00:00:00,2014-09-30 00:00:00,60000.0,60000.0,0,60000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=176&z=bh7m,2014,16,CHMS
Technical Assistance,2014-01-01 00:00:00,2014-09-30 00:00:00,23000.0,23000.0,0,23000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=177&z=bh7m,2014,16,CHMS
Newsletter,2013-12-01 00:00:00,2014-09-30 00:00:00,3000.0,3000.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=180&z=bh7m,2014,16,CHMS
Cross Collaborative Promotion:Advertising,2013-12-01 00:00:00,2014-09-30 00:00:00,12000.0,12000.0,0,12000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=182&z=bh7m,2014,16,CHMS
Operate Effective Main Street,2013-10-01 00:00:00,2014-09-30 00:00:00,37500.0,37500.0,0,37500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=183&z=bh7m,2014,16,CHMS
Santa Arrives on 8th Street,2015-11-01 00:00:00,2015-12-31 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=423&z=biaw,2016,40,BRMS
ED Salary,2015-10-01 00:00:00,2016-09-30 00:00:00,37500.0,37500.0,0,37500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=421&z=biaw,2016,40,BRMS
Outreach to Business,2016-01-01 00:00:00,2016-03-31 00:00:00,2500.0,2500.0,0,2500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=411&z=biaw,2016,40,BRMS
Light Pole Banners,2015-10-01 00:00:00,2016-09-30 00:00:00,4000.0,4000.0,0,4000.0,275.0,0.0,275.0,3725.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=422&z=biaw,2016,40,BRMS
Taste of 8th,2016-01-01 00:00:00,2016-05-31 00:00:00,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=419&z=biaw,2016,40,BRMS
Annual Meeting,2016-01-01 00:00:00,2016-03-31 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=413&z=biaw,2016,40,BRMS
Business Retention - SBTA,2015-10-01 00:00:00,2016-09-30 00:00:00,17500.0,17500.0,0,17500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=415&z=biaw,2016,40,BRMS
BRMS Business Map Project,2015-10-01 00:00:00,2016-09-30 00:00:00,4500.0,4500.0,0,4500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=414&z=biaw,2016,40,BRMS
Business Retention,2015-10-01 00:00:00,2016-09-30 00:00:00,20000.0,20000.0,0,20000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=416&z=biaw,2016,40,BRMS
Share Ad Campaign,2015-10-01 00:00:00,2016-09-30 00:00:00,3000.0,3000.0,0,3000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=417&z=biaw,2016,40,BRMS
Volunteer Recruitment,2015-10-01 00:00:00,2016-09-30 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=418&z=biaw,2016,40,BRMS
Easter Egg Hunt,2016-03-30 00:00:00,2016-04-30 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=420&z=biaw,2016,40,BRMS
Signage Grant,2015-10-01 00:00:00,2016-09-30 00:00:00,27500.0,27500.0,0,27500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=412&z=biaw,2016,40,BRMS
Website and Mobile App,2016-10-01 00:00:00,2017-09-30 00:00:00,940.0,940.0,0,940.0,940.0,0.0,940.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=604&z=bibu,2017,46,TMS
Membership Outreach,2016-12-01 00:00:00,2017-09-30 00:00:00,6500.0,6500.0,2750,9250.0,1841.89,0.0,1841.89,4658.11,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=602&z=bibu,2017,46,TMS
Retail Attraction Strategy,2017-01-01 00:00:00,2017-09-30 00:00:00,3000.0,3000.0,0,3000.0,3000.0,0.0,3000.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=653&z=bibu,2017,46,TMS
Branding and Marketing Strategy Development,2016-12-01 00:00:00,2017-03-31 00:00:00,3000.0,3000.0,0,3000.0,4000.0,0.0,4000.0,-1000.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=605&z=bibu,2017,46,TMS
Monthly Networking and Business Issues Meetings,2016-10-01 00:00:00,2017-09-30 00:00:00,300.0,300.0,300,600.0,25.0,0.0,25.0,275.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=617&z=bibu,2017,46,TMS
Tree Box Maintenance,2016-10-01 00:00:00,2017-09-30 00:00:00,450.0,450.0,400,850.0,50.95,0.0,50.95,399.05,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=611&z=bibu,2017,46,TMS
Executive Director Salary & Benefits,2016-10-01 00:00:00,2017-09-30 00:00:00,38700.0,38700.0,56100,94800.0,46800.32,0.0,46800.32,-8100.32,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=600&z=bibu,2017,46,TMS
Storefront Improvement Projects,2016-12-01 00:00:00,2017-09-30 00:00:00,25800.0,25800.0,0,25800.0,23993.78,0.0,23993.78,1806.22,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=613&z=bibu,2017,46,TMS
Accounting & Financial Services - Annual Audit,2017-01-01 00:00:00,2017-03-31 00:00:00,7000.0,7000.0,0,7000.0,9290.25,0.0,7000.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=601&z=bibu,2017,46,TMS
Annual Meeting,2017-02-01 00:00:00,2017-04-30 00:00:00,265.0,265.0,6638,6903.0,265.39,0.0,265.39,-0.38999999999999,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=603&z=bibu,2017,46,TMS
Small Business Saturday,2016-11-01 00:00:00,2016-11-30 00:00:00,113.0,113.0,0,113.0,112.27,0.0,112.27,0.73,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=607&z=bibu,2017,46,TMS
Tenley WinterFest,2016-10-01 00:00:00,2016-12-31 00:00:00,4045.0,4045.0,3020,7065.0,3712.31,0.0,3712.31,332.69,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=606&z=bibu,2017,46,TMS
Wisconsin Avenue Beautification - Earth Day,2017-02-01 00:00:00,2017-05-15 00:00:00,1050.0,1050.0,600,1650.0,1045.93,0.0,1045.93,4.07,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=608&z=bibu,2017,46,TMS
Make Music Day - June 21,2017-02-01 00:00:00,2017-07-15 00:00:00,8433.0,8433.0,3232,11665.0,8400.58,0.0,8400.58,32.42,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=609&z=bibu,2017,46,TMS
Art All Night - September 24,2017-05-01 00:00:00,2017-09-30 00:00:00,22075.0,22075.0,5870,27945.0,36384.47,0.0,36342.61,-14267.61,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=610&z=bibu,2017,46,TMS
Tenleytown Main Street Seasonal Banners,2016-10-01 00:00:00,2017-09-30 00:00:00,5100.0,5100.0,0,5100.0,4543.95,0.0,4543.95,556.05,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=612&z=bibu,2017,46,TMS
Public Space Design Workshops,2017-01-01 00:00:00,2017-09-30 00:00:00,175.0,175.0,1000,1175.0,297.02,0.0,297.02,-122.02,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=614&z=bibu,2017,46,TMS
Business Database Maintenance,2016-10-01 00:00:00,2017-09-30 00:00:00,2270.0,2270.0,0,2270.0,2270.0,0.0,2270.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=615&z=bibu,2017,46,TMS
Technical Assistance to Local Businesses,2016-10-01 00:00:00,2017-09-30 00:00:00,9000.0,9000.0,0,9000.0,9000.0,0.0,9000.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=616&z=bibu,2017,46,TMS
Ribbon Cuttings for New Businesses and Business Milestones,2016-10-01 00:00:00,2017-09-30 00:00:00,750.0,750.0,1700,2450.0,750.12,0.0,750.12,-0.12,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=652&z=bibu,2017,46,TMS
Main Street Now Conference,2017-04-15 00:00:00,2017-05-31 00:00:00,395.0,395.0,0,395.0,395.0,0.0,395.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=619&z=bibu,2017,46,TMS
Board Training and Development,2016-10-01 00:00:00,2017-09-30 00:00:00,2605.0,2605.0,1000,3605.0,3379.0,0.0,3379.0,-774.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=618&z=bibu,2017,46,TMS
Certified Audit - Accounting Services,2016-10-01 00:00:00,2016-09-30 00:00:00,7000.0,7000.0,0,7000.0,7000.0,0.0,7000.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=577&z=bicx,2017,54,HSMS
Training - Travel,2016-10-01 00:00:00,2016-09-30 00:00:00,2000.0,2000.0,0,2000.0,1782.05,0.0,1767.85,232.15,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=579&z=bicx,2017,54,HSMS
Training - Registration,2016-10-01 00:00:00,2016-09-30 00:00:00,1000.0,1000.0,0,1000.0,1000.0,0.0,1000.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=578&z=bicx,2017,54,HSMS
H Street Festival,2017-08-01 00:00:00,2016-09-30 00:00:00,20000.0,20000.0,100000,120000.0,20336.64,0.0,20336.64,-336.64,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=725&z=bicx,2017,54,HSMS
Storefront Inprovement,2017-03-01 00:00:00,2017-09-30 00:00:00,16250.0,16250.0,0,16250.0,16510.3,0.0,16510.3,-260.3,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=723&z=bicx,2017,54,HSMS
Technical Assistance,2016-10-01 00:00:00,2017-09-30 00:00:00,16250.0,16250.0,100000,116250.0,7250.0,0.0,7250.0,9000.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=724&z=bicx,2017,54,HSMS
Art All Night,,,16666.0,16666.0,10000,26666.0,38166.0,0.0,38166.0,-21500.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=809&z=bicx,2017,54,HSMS
Marketing Advertising,2016-10-01 00:00:00,2017-09-30 00:00:00,27800.0,27800.0,35000,62800.0,27421.01,0.0,27421.01,378.99,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=580&z=bicx,2017,54,HSMS
ED Salary,2016-10-01 00:00:00,2017-09-30 00:00:00,38700.0,38700.0,58800,97500.0,38700.0,0.0,38700.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=581&z=bicx,2017,54,HSMS
Holiday Party and Business Showcase,2015-12-07 00:00:00,2015-12-07 00:00:00,0.0,0.0,0,0.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=483&z=biab,2016,36,SMS
Newsletter Printing & e-Newsletter Production,2015-10-01 00:00:00,2016-09-30 00:00:00,13000.0,13000.0,5000,18000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=475&z=biab,2016,36,SMS
Volunteer Recruitment & Recognition Happy Hour,2015-10-01 00:00:00,2016-09-30 00:00:00,350.0,350.0,0,350.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=477&z=biab,2016,36,SMS
Annual Gala,2016-06-01 00:00:00,2016-06-01 00:00:00,500.0,500.0,50000,50500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=484&z=biab,2016,36,SMS
Quarterly SMS Happy Hour,2015-10-01 00:00:00,2016-09-30 00:00:00,250.0,250.0,500,750.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=485&z=biab,2016,36,SMS
Annual Meeting,2016-03-23 00:00:00,2016-03-23 00:00:00,1200.0,1200.0,4300,5500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=486&z=biab,2016,36,SMS
Annual Report,2016-03-01 00:00:00,2016-03-23 00:00:00,1250.0,1250.0,1000,2250.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=487&z=biab,2016,36,SMS
Website Maintenance,2015-10-01 00:00:00,2016-09-30 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=488&z=biab,2016,36,SMS
SMS Open House,2016-06-18 00:00:00,2016-06-18 00:00:00,4000.0,4000.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=489&z=biab,2016,36,SMS
"""A Sip of Shaw""",2016-09-10 00:00:00,2016-09-10 00:00:00,1000.0,1000.0,1000,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=490&z=biab,2016,36,SMS
Art All Night DC,2016-09-24 00:00:00,2016-09-24 00:00:00,6000.0,6000.0,37500,43500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=492&z=biab,2016,36,SMS
"Bar, Fitness, Fashion, Art & Design Crawls",2015-10-01 00:00:00,2016-09-30 00:00:00,300.0,300.0,0,300.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=493&z=biab,2016,36,SMS
Howard University Promotions,2015-10-01 00:00:00,2016-09-30 00:00:00,3000.0,3000.0,3000,6000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=494&z=biab,2016,36,SMS
Update SMS Business Directory & Dining Guide,2016-03-01 00:00:00,2016-06-30 00:00:00,4000.0,4000.0,0,4000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=495&z=biab,2016,36,SMS
Black History Month Event,2016-02-13 00:00:00,2016-02-13 00:00:00,250.0,250.0,250,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=496&z=biab,2016,36,SMS
Banners,2016-03-01 00:00:00,2016-09-30 00:00:00,8000.0,8000.0,0,8000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=499&z=biab,2016,36,SMS
Business Owners Meet & Greet,2015-10-01 00:00:00,2016-09-30 00:00:00,500.0,500.0,0,500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=501&z=biab,2016,36,SMS
Executive Director Salary,2015-10-01 00:00:00,2016-09-30 00:00:00,37500.0,37500.0,32500,70000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=476&z=biab,2016,36,SMS
Holiday Party & Business Showcase,2015-12-07 00:00:00,2015-12-07 00:00:00,400.0,400.0,30100,30500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=478&z=biab,2016,36,SMS
Collaborative Cross Promotions,2015-10-01 00:00:00,2016-09-30 00:00:00,33000.0,33000.0,32840,65840.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=491&z=biab,2016,36,SMS
Ribbon Cuttings,2015-10-01 00:00:00,2016-09-30 00:00:00,1000.0,1000.0,0,1000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=497&z=biab,2016,36,SMS
Storefront Improvements,2015-10-01 00:00:00,2016-09-30 00:00:00,5000.0,5000.0,0,5000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=498&z=biab,2016,36,SMS
"Social Media & Web Marketing, SnapChat, Geolocation",2016-03-01 00:00:00,2016-09-30 00:00:00,4000.0,4000.0,500,4500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=500&z=biab,2016,36,SMS
Operate Effective Main Street,2014-10-01 00:00:00,2015-09-30 00:00:00,37500.0,37500.0,0,37500.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=316&z=bh7u,2015,18,CHMS
Technical Assistance Mini Grant,2015-01-01 00:00:00,2015-09-30 00:00:00,10000.0,10000.0,0,10000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=322&z=bh7u,2015,18,CHMS
Art All Night,2015-09-26 00:00:00,2015-09-27 00:00:00,8000.0,8000.0,27000,35000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=319&z=bh7u,2015,18,CHMS
Back to School,2015-08-01 00:00:00,2015-08-31 00:00:00,6000.0,6000.0,0,6000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=321&z=bh7u,2015,18,CHMS
Website Updates,2014-10-01 00:00:00,2015-09-30 00:00:00,2000.0,2000.0,0,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=323&z=bh7u,2015,18,CHMS
