project_name,start_date,end_date,dslbd_proposed_budget,dslbd_approved_budget,non-dslbd_budget,total_proposed_project_costs,total_amount_submitted_by_grantee,total_cbe_expense_amount,approved_expenses,remaining_dslbd_funds_ytd,add_expense,year,proposal_number,org_code
Shaw Main Streets Annual Report,2017-02-01 00:00:00,2017-03-31 00:00:00,1500.0,1500.0,1000,2500.0,1588.8,0.0,1588.8,-88.8,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=776&z=bidh,2017,57,SMS
Shaw Main Streets Holiday Party and Business Showcase,2016-11-01 00:00:00,2017-12-15 00:00:00,400.0,400.0,16000,16400.0,400.0,0.0,400.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=777&z=bidh,2017,57,SMS
Shaw Main Streets Website Maintenance,2016-10-01 00:00:00,2017-09-30 00:00:00,500.0,500.0,0,500.0,951.31,0.0,951.31,-451.31,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=778&z=bidh,2017,57,SMS
Shaw Open House,2017-05-01 00:00:00,2017-09-30 00:00:00,5000.0,5000.0,6000,11000.0,4977.5,0.0,4977.5,22.5,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=779&z=bidh,2017,57,SMS
Art All Night in Shaw,2017-03-01 00:00:00,2017-09-30 00:00:00,10000.0,10000.0,30000,40000.0,40083.85,0.0,40083.85,-30083.85,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=780&z=bidh,2017,57,SMS
Shaw Main Streets Back History Month Celebration,2017-02-01 00:00:00,2017-02-28 00:00:00,400.0,400.0,750,1150.0,1525.15,0.0,1525.15,-1125.15,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=782&z=bidh,2017,57,SMS
Ribbon Cuttings,2016-11-01 00:00:00,2017-06-30 00:00:00,500.0,500.0,1500,2000.0,1306.42,0.0,1306.42,-806.42,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=783&z=bidh,2017,57,SMS
Small Business Saturday in Shaw,2016-11-01 00:00:00,2016-11-30 00:00:00,250.0,250.0,1000,1250.0,800.0,0.0,800.0,-550.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=784&z=bidh,2017,57,SMS
Edible DC Ads,2016-10-01 00:00:00,2017-09-30 00:00:00,6000.0,6000.0,6500,12500.0,7099.0,0.0,6969.0,-969.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=785&z=bidh,2017,57,SMS
Creative Services for Advertising ,2016-10-01 00:00:00,2017-09-30 00:00:00,4000.0,4000.0,0,4000.0,3800.29,0.0,3800.29,199.71,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=786&z=bidh,2017,57,SMS
Shaw Branding Program,2017-01-01 00:00:00,2017-09-30 00:00:00,30000.0,30000.0,0,30000.0,36998.44,0.0,36998.44,-6998.44,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=787&z=bidh,2017,57,SMS
Shaw Storefront Improvements,2016-10-01 00:00:00,2017-04-30 00:00:00,10000.0,10000.0,3000,13000.0,7746.85,0.0,7746.85,2253.15,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=788&z=bidh,2017,57,SMS
Keep Shaw Beautiful Day,2017-03-01 00:00:00,2017-04-30 00:00:00,2000.0,2000.0,1000,3000.0,1929.28,0.0,1929.28,70.72,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=789&z=bidh,2017,57,SMS
Boulevard Banner Permits,2017-02-01 00:00:00,2017-09-30 00:00:00,8000.0,8000.0,0,8000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=790&z=bidh,2017,57,SMS
Social media & Web Marketing Technical Assistance,2016-10-01 00:00:00,2017-09-30 00:00:00,2000.0,2000.0,0,2000.0,2145.11,0.0,2145.11,-145.11,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=791&z=bidh,2017,57,SMS
Shaw Main Streets Business Directory and Dining Guide,2017-02-01 00:00:00,2017-04-30 00:00:00,750.0,750.0,10750,11500.0,1000.0,0.0,1000.0,-250.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=781&z=bidh,2017,57,SMS
Great Streets Grant Application Technical Assistance,2016-10-01 00:00:00,2016-12-06 00:00:00,1000.0,1000.0,0,1000.0,1450.0,0.0,1450.0,-450.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=792&z=bidh,2017,57,SMS
Shaw Business Buzz Breakfasts,2017-03-01 00:00:00,2017-09-30 00:00:00,1000.0,1000.0,1000,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=793&z=bidh,2017,57,SMS
Shaw Business Owners Meet & Greet,2017-03-01 00:00:00,2017-09-30 00:00:00,1000.0,1000.0,1000,2000.0,,,,,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=794&z=bidh,2017,57,SMS
Executive Director Salary and Benefits,2016-10-01 00:00:00,2017-09-30 00:00:00,38700.0,38700.0,32500,71200.0,38700.0,0.0,38700.0,0.0,https://octo.quickbase.com/db/bmnvf7rky?a=API_GenAddRecordForm&_fid_27=795&z=bidh,2017,57,SMS
